instauracao;sr;uf;competencia;Indiciamentos;Indiciados;relatorio;duracao
09/05/2017;DPF/PPA/MS;MS;OUTRAS;1;1;08/01/2018;244
21/01/2018;DPF/PPA/MS;MS;OUTRAS;1;1;29/01/2018;8
21/08/2017;SR/PF/PR;PR;OUTRAS;1;1;30/01/2018;162
29/09/2017;DPF/TLS/MS;MS;OUTRAS;1;1;30/01/2018;123
27/12/2017;DPF/PPA/MS;MS;OUTRAS;1;1;01/02/2018;36
14/12/2017;DPF/PPA/MS;MS;OUTRAS;2;2;06/02/2018;54
08/02/2018;SR/PF/MA;MA;OUTRAS;1;1;28/02/2018;20
12/02/2018;SR/PF/MA;MA;OUTRAS;1;1;01/03/2018;17
18/12/2017;DPF/NVI/MS;MS;OUTRAS;1;1;12/03/2018;84
06/03/2018;SR/PF/MA;MA;OUTRAS;1;1;13/03/2018;7
19/12/2017;DPF/ARS/RJ;RJ;OUTRAS;1;1;02/01/2018;14
16/09/2016;DPF/GVS/MG;MG;OUTRAS;1;1;04/01/2018;475
30/06/2017;DPF/SBA/RS;RS;OUTRAS;1;1;09/01/2018;193
22/12/2017;DPF/FIG/PR;PR;OUTRAS;1;1;17/01/2018;26
29/03/2017;DPF/SAG/RS;RS;OUTRAS;1;1;23/01/2018;300
12/07/2017;DPF/LGE/SC;SC;OUTRAS;1;1;23/01/2018;195
11/11/2017;DPF/CZS/AC;AC;OUTRAS;1;1;25/01/2018;75
02/01/2018;DPF/FIG/PR;PR;OUTRAS;1;1;29/01/2018;27
06/12/2017;DPF/SJK/SP;SP;OUTRAS;1;1;30/01/2018;55
16/04/2015;DPF/GVS/MG;MG;OUTRAS;1;1;05/02/2018;1026
13/12/2017;SR/PF/TO;TO;OUTRAS;1;1;05/02/2018;54
15/01/2018;SR/PF/BA;BA;OUTRAS;1;1;06/02/2018;22
17/11/2016;DPF/ILS/BA;BA;OUTRAS;1;1;07/02/2018;447
30/11/2017;SR/PF/AP;AP;OUTRAS;1;1;08/02/2018;70
29/01/2018;SR/PF/BA;BA;OUTRAS;1;1;15/02/2018;17
05/02/2018;DPF/CHI/RS;RS;OUTRAS;1;1;15/02/2018;10
06/02/2018;DPF/ROO/MT;MT;OUTRAS;1;1;16/02/2018;10
07/02/2018;DPF/SOD/SP;SP;OUTRAS;1;1;16/02/2018;9
15/12/2017;DPF/CAC/PR;PR;OUTRAS;1;1;26/02/2018;73
12/12/2017;DPF/ILS/BA;BA;OUTRAS;1;1;27/02/2018;77
03/02/2018;DPF/CAC/PR;PR;OUTRAS;2;2;07/03/2018;32
17/02/2017;DPF/MGA/PR;PR;OUTRAS;3;3;12/03/2018;388
18/12/2017;DPF/SSB/SP;SP;OUTRAS;1;1;12/03/2018;84
26/01/2018;DPF/CZS/AC;AC;OUTRAS;2;2;14/03/2018;47
11/09/2017;DPF/SAG/RS;RS;OUTRAS;1;1;20/03/2018;190
15/03/2018;DPF/GMI/RO;RO;OUTRAS;1;1;22/03/2018;7
03/03/2018;DPF/GRA/PR;PR;OUTRAS;1;1;29/03/2018;26
24/02/2016;SR/DPF/RJ;RJ;OUTRAS;2;2;02/01/2018;678
05/05/2017;SR/PF/PA;PA;OUTRAS;2;2;02/01/2018;242
13/09/2016;SR/DPF/SC;SC;OUTRAS;4;4;03/01/2018;477
21/03/2013;DPF/GOY/RJ;RJ;OUTRAS;6;3;04/01/2018;1750
