"bairro","location","preco","quartos","m2","corretora","data","link","pm2"
"Noroeste ","SQNW 310 ",150000,3,117,"12220",2014-01-23,"/imovel/venda-apartamento-brasilia-df-3-quartos-sqnw-310-339700",1282.05128205128
"Sudoeste ","CCSW 06 MIAMI CENTER",175000,1,30,"5388",2014-01-16,"/imovel/venda-apartamento-brasilia-df-1-quarto-ccsw-06-1160147",5833.33333333333
"Asa Norte ","SGAN 915 PARQUE NORTE - CANTO, MAIOR APTO E MENOR VALOR!",175000,2,78.31,"13065",2014-01-15,"/imovel/venda-apartamento-brasilia-df-2-quartos-sgan-915-1157616",2234.70821095645
"Asa Norte ","CLN 114 BLOCO C ",180000,1,29,"6131",2014-01-06,"/imovel/venda-apartamento-brasilia-df-1-quarto-cln-114-bloco-c-1157399",6206.89655172414
"Asa Norte ","SCRN 714/715 BLOCO D ",190000,1,31,"9500",2014-01-28,"/imovel/venda-apartamento-brasilia-df-1-quarto-scrn-714-715-bloco-d-528726",6129.03225806452
"Sudoeste ","QMSW 05 - PORTO RAVENA!!!",190000,1,30,"7421",2014-01-15,"/imovel/venda-apartamento-brasilia-df-1-quarto-qmsw-05-1059262",6333.33333333333
"Asa Sul ","CRS 515 ED. LOS ANGELES - 1? ANDAR - MOBILIADO",195000,1,35,"12407",2013-12-18,"/imovel/venda-apartamento-brasilia-df-1-quarto-crs-515-1155223",5571.42857142857
"Asa Norte ","SCRN 716 BLOCO F :: APARTAMENTO C/ ARM?RIOS",2e+05,1,35,"11763",2014-01-28,"/imovel/venda-apartamento-brasilia-df-1-quarto-scrn-716-bloco-f-1163654",5714.28571428571
"Asa Norte ","CLN 115 BLOCO B ",2e+05,1,42,"18216",2014-01-17,"/imovel/venda-apartamento-brasilia-df-1-quarto-cln-115-bloco-b-1160473",4761.90476190476
"Asa Norte ","CLN 312 REFORMADA",2e+05,1,30,"4371",2014-01-15,"/imovel/venda-apartamento-brasilia-df-1-quarto-cln-312-1082248",6666.66666666667
"Asa Norte ","CLN 413 BLOCO E ",2e+05,1,32,"1703",2013-12-30,"/imovel/venda-apartamento-brasilia-df-1-quarto-cln-413-bloco-e-980377",6250
"Asa Norte ","SCLRN 714 CONTATO MARIANA 7813-5017/8104-0417",205000,1,42,"9556",2013-12-09,"/imovel/venda-apartamento-brasilia-df-1-quarto-sclrn-714-576016",4880.95238095238
"Asa Norte ","SCRN 710/711 **EXCELENTE APARTAMENTO, ACEITA FINANCIAMENTO**",210000,1,35,"7107",2014-01-29,"/imovel/venda-apartamento-brasilia-df-1-quarto-scrn-710-711-883036",6000
"Asa Norte ","SHCGN 710 BLOCO G 8172-1240 / 4101-4470",210000,1,45,"6977",2014-01-29,"/imovel/venda-apartamento-brasilia-df-1-quarto-shcgn-710-bloco-g-1163724",4666.66666666667
"Sudoeste ","CCSW 06 ",210000,1,30,"6041",2013-12-26,"/imovel/venda-apartamento-brasilia-df-1-quarto-ccsw-06-977195",7000
"Asa Norte ","SCLRN 711 ",215000,1,32.73,"7925",2014-01-20,"/imovel/venda-apartamento-brasilia-df-1-quarto-sclrn-711-829734",6568.89703635808
"Sudoeste ","QRSW 07 COMERCIO LOCAL S/N ",215000,1,29,"9422",2014-01-13,"/imovel/venda-apartamento-brasilia-df-1-quarto-qrsw-07-comercio-local-s-n-890849",7413.79310344828
"Asa Norte ","SGAN 911 ",215000,1,25,"10616",2013-12-13,"/imovel/venda-apartamento-brasilia-df-1-quarto-sgan-911-1097365",8600
"Sudoeste ","CCSW 05 - ED. BETA ST?DIO- 1? ANDAR",220000,1,26,"13933",2014-01-28,"/imovel/venda-apartamento-brasilia-df-1-quarto-ccsw-05-1163621",8461.53846153846
"Asa Norte ","SCLRN 711 - AC. FINANC./FGTS",220000,1,34.94,"5776",2014-01-06,"/imovel/venda-apartamento-brasilia-df-1-quarto-sclrn-711-309738",6296.50829994276
"Asa Sul ","CRS 515 BLOCO B ED.LAS VEGAS!!1?ANDAR!!VISTA LIVRE!!",220000,1,37,"13602",2013-12-16,"/imovel/venda-apartamento-brasilia-df-1-quarto-crs-515-bloco-b-829011",5945.94594594595
"Sudoeste ","CCSW 06 IMPERD?VEL 01 QTO EXCTE PRE?O R$$",223000,1,37,"7037",2013-12-06,"/imovel/venda-apartamento-brasilia-df-1-quarto-ccsw-06-802426",6027.02702702703
